Feature,Coefficient,Standard Error,Year
Intercept,6.560562387260973,0.10615169570326005,1990
ln_export_area,-0.08482749878495144,0.1272757341221686,1990
abs_latitude,0.20616162543214123,0.1598552252306945,1990
rain_min,0.20051380917111167,0.10908019399114316,1990
region_n,0.13753755014452934,0.18651463463365708,1990
ln_avg_oil_pop,0.39439019383277013,0.12190232776015668,1990
ln_pop_dens_1400,-0.4958958763840703,0.11850252807954455,1990
Intercept,6.652363059740931,0.1009595456097998,1991
ln_export_area,-0.07874934522084076,0.11977664975194685,1991
region_n,0.30382335626412743,0.13625337258662554,1991
ln_avg_oil_pop,0.3071841494757817,0.11093819788928042,1991
ln_avg_all_diamonds_pop,0.15104400459905915,0.10404046652820971,1991
ln_pop_dens_1400,-0.5330886719818018,0.11012400297854075,1991
Intercept,6.529158053977707,0.10623964150555898,1992
ln_export_area,-0.15343804271741873,0.12863687219149594,1992
rain_min,0.10686965081477855,0.10963188982546197,1992
humid_max,0.1668544704808084,0.13072039805669375,1992
region_n,0.3609420811564113,0.14504548936495806,1992
ln_avg_oil_pop,0.2661002413521905,0.11780552797831842,1992
ln_pop_dens_1400,-0.5538635733877998,0.11992768603288201,1992
red_sea_distance_minimum,0.10160509681109038,0.10960770123290878,1992
Intercept,6.492029996522986,0.10863522270794292,1993
ln_export_area,-0.1576912448356353,0.1417559849813162,1993
rain_min,0.11288354438967227,0.1161054672490803,1993
humid_max,0.1644519704250239,0.1529414139133562,1993
ln_coastline_area,-0.0012093638386916168,0.13695264272589128,1993
region_n,0.3994134649691105,0.20955319052213725,1993
ln_avg_oil_pop,0.3015969518708463,0.12544790600250172,1993
ln_pop_dens_1400,-0.5424599102054208,0.13575645149052615,1993
indian_distance_minimum,-0.10733971583340696,0.2046000483750164,1993
red_sea_distance_minimum,0.18119516774726818,0.14376277524550898,1993
Intercept,6.3052034391758305,0.11167614135861328,1994
ln_export_area,-0.2564501717953373,0.1409690585760451,1994
abs_latitude,0.044877654257709086,0.22407319124515535,1994
rain_min,0.0321662182947822,0.1286674507575072,1994
humid_max,0.18713351738690048,0.16429386098913945,1994
ln_coastline_area,0.15828432423522465,0.14234162649073528,1994
legor_fr,-0.29597420929273477,0.1287507222550014,1994
region_n,0.25840864733612373,0.21224624411053913,1994
region_c,-0.24153925433465387,0.19464603646843873,1994
ln_avg_oil_pop,0.47969324971291555,0.1734075728627672,1994
ln_pop_dens_1400,-0.5780622083104159,0.14262716567472747,1994
red_sea_distance_minimum,0.09545617737775018,0.12618182849403073,1994
Intercept,6.4259060540452655,0.10991824296475304,1995
ln_export_area,-0.31203189389226405,0.14532816570230342,1995
rain_min,0.034499562839907974,0.12377399233328623,1995
humid_max,0.195151301967671,0.15913028068448465,1995
ln_coastline_area,0.14029791967438754,0.1374303436324199,1995
legor_fr,-0.26143177876788193,0.12682578570176642,1995
region_n,0.20411515800734098,0.22980711821937028,1995
region_c,-0.311712539039259,0.16925797252406213,1995
ln_avg_oil_pop,0.56243953773011,0.17292256962264752,1995
