,ln_export_area,ln_export_pop,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,LN_GDPPC$_2021,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
1990,,,,,,,,,,,,,,,,,,,,,-4.030443355812632e-17,,-4.030443355812632e-17,,,,,,,,,,,,,,0.6827247592154383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,-0.12447319240882143,,-0.12447319240882143,,,,,,,,,,,,,,,0.5830776723320776,,,,0.055189572430012504,,,,,,,,,,,,,,,,,,,,,,,,,
1992,-0.12279422503565872,,,,,,,,,,,,,,,,,,,,-0.12157225130005107,,-0.12157225130005107,,0.12604008253392393,,,,,,0.07373060777167667,,-0.06488136501939124,,,,,,0.17361661760399544,,,,0.49205353374239186,,,,,,,,,,,,,,,,,,,,,,,,
1993,-0.18504157910611155,,,,,,,,,0.063144529107114,,,,,,-0.12076942999449072,,,,,-0.0,,-0.0,,0.028604476606637876,,0.04464657177595002,,,,0.06907900656308226,,-0.05568876317084039,-0.08322943873834017,,,,,,0.11899930721147385,,,0.5462100424140476,,,,,,,,,,,,,,,,,,,,,,,,
1994,-0.23044479608067323,,,,,,,,,0.06152429580953369,,,,,,,,,,,-6.549470453195527e-17,,-6.549470453195527e-17,,0.03847200783001776,,0.10338990300870822,,,,,,-0.19687043344385213,-0.11022547563260202,,,,0.1347176335346533,,,,0.0,0.5921501419166546,,,,,,,,,,,,,,,,,,,,,,,,
1995,-0.25914931948479203,,,-0.1420494026348029,,,,,,0.04507890757814848,,,,,,,,,,,,,,,0.0,,0.024906414273908262,,,,,,-0.18954221276036706,-0.11224824343808198,,,,,,,,,0.7266953042543436,,,,,,,,,,,,,,,,,,,,,,,,
1996,-0.2238534895635283,,,,,,,,,,,,,,,,,,0.11366147676132987,,,,,,0.020763734993290487,,0.13787440383392646,,,,,,-0.2322406363474453,,,,,,,,,,0.6745779903168182,,,,,,,,,,,,,,,,,,,,,,,,
1997,-0.255926845382267,,,,,,,,,,,,,,,-0.0,,,0.1641782076413489,,,,,,,,0.11617149449319232,,,,,,-0.22396137805747607,,,,,,,,,,0.6463217945707943,,,,,,,,,,,,,,,,,,,,,,,,
1998,-0.2262022975618294,,,,,,,,,,,,,,,,,,,,,,,,0.12748081975257794,,,,,,,,-0.2222057763372625,,,,,,,,,,0.6820515679879076,,,,,,,,,,,,,,,,,,,,,,,,
1999,-0.2518224292809648,,,,,,,,,,,,,,,,,,,,,,,,0.09402037168053216,,0.044084288516733273,0.01908963544684237,,,,,-0.22731469248287947,,,,,,,,,,0.6000533241830824,,,,,,,,,,,,,0.06721797497117687,,,,,,,,,,,
2000,-0.1426391714821448,,,,,,,0.021437987729785432,,,,,0.07906733105127879,,,,0.030035256816727564,-0.03412083709747554,0.1276378729639819,,-0.0,,-0.0,,0.02845219613845731,,,0.18700649115768667,-0.11554169906396058,,,,-0.05828496257495737,,,,,,,,,,0.3826595247385293,,,,,,,,,,,,,,0.07388200106301157,,,,,,,,,,
2001,-0.1555598367347326,,,,,,,,,,,,0.025559261404241786,,,,,,0.07653270791480817,,,,,,,,,0.03975694214265634,-0.10497944118167259,,,,-0.18159230301891405,,,,,,,,,,0.3466720108898563,,,,,,,0.1351677814805275,,,,,,0.19489893462091087,0.0006231292797370771,,,,,,,,,,
2002,-0.18893474150113143,,,,,,,,,,,,,,,,,,0.1865778968113701,,,,,,,,,0.09493219367850196,-0.13429120403912298,,,,-0.23939546726905933,,,,,,,,,,0.09420792909935892,,,,,,,0.39189971861574274,,,,,,0.049942965034070384,,,,,,,,,,,
2003,-0.23791390713886687,,,,,,,,,,,,,,,,,,0.2237355143712047,,,,,,,,,0.0823266260580316,-0.16694065718364665,,,,-0.2837145917259625,,,,,,,,,,0.029056255501264897,,,,,,,0.4567071166782169,,,,,,,0.05224921765050316,,,,,,,,,,
2004,-0.17141783829712745,,,,,,,,,,,,,,,,,,0.17576963954542763,,,,,,,,,0.0,-0.13206012563891717,,,,-0.24210555529536004,,,,,,,,,,,,,,,,,0.4761544432363613,,,,,,,0.076678741547314,0.13318785092639235,,,,,,,,,
2005,-0.1332971742389193,,,,,,,,,,,,,,,,,,0.1755754255366903,,-1.007610838953158e-17,,-1.007610838953158e-17,,,,,,-0.12710113231954404,,,,-0.2063779176497301,,,,,,,,,,0.05119621534089947,,,,,,,0.3029899819719601,,,,,,,0.18325596014494122,0.2020434725184132,,,,,,,,,
2006,-0.16643715662177913,,,,,,,,,,,,,,,,,,0.26312168409525977,,,,,,,,,0.10586187634402296,-0.1465551301209032,,,,-0.25059516190258113,,,,,,,,,,,,,,,,,0.26443710024101674,,,,,,,0.3465142498068172,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,0.16877820841911373,,,,,,,,,0.15872872990656195,-0.13271621558273505,,,,-0.20467920554892863,,,,,,,,,,,,,,,,,0.18867920784880346,,,,,,,0.4616055076787899,,,,,,,,,,
2008,-0.10713202091075189,,,-0.07151556129369743,,,,0.03050942307065325,,0.11925499751787456,,,,-0.054048986982121516,,,,-0.07292908026990257,0.23937931752704916,,-0.0,,-0.0,,,,,,-0.08484318614639114,0.0500319664634747,,0.06889110345381969,-0.15002690961677145,-0.2561295945266584,,,,,,,,,,,,,,,,,,,,,,,0.06526664592141956,0.834464721996964,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,0.14001071791988684,,,,,,,,,0.30375269777015124,-0.10695254805907244,,,,-0.19904583473661627,,,,,,,,,,,,,,,,,,,,,,,0.19329960281892244,0.25265759950652256,,,,,,,,,,
2010,-0.15119846352794702,,,,,,,,,,,,,,,,,,0.22456011160652511,,,,,,,,,0.2348018722049848,-0.11550351087161759,,,,-0.23237360221498682,,,,,,,,,,0.037209959407005624,,,,,,,,,,,,,,0.40723791510980034,,,,,,,,,,
2011,-0.1704305806954213,,,-0.052914000288205844,,,,,,0.0785072463819647,,,,,,,,,0.2495806259865469,,-0.0,,-0.0,,,,,0.0,-0.08264441207808647,0.087146421700898,,0.04669309281450024,-0.17408505314845793,-0.23759789844175877,,-0.05373177957533444,,,,,,,,,,,,,,,,,,,,,,0.8247232488663081,,,,,,,,,
2012,-0.14253628570078938,,,,,,,,,,,,,,,,,,0.2703834633992729,,-0.059720840386477965,,-0.059720840386477965,,,,,0.22311759274358933,-0.0859614173099582,,,,-0.2109211858437039,,,,,,,,,,,,,,,,,,,,,,,,0.43647430446165686,,,,,,,,,,
2013,-0.15878928141134868,,,-0.05874732698353534,,,,,,,,,,,,,,,0.30880802129014645,,,,,,-0.0,,0.02985311458516836,0.4731763012704951,-0.05595142445695943,,,0.047134111690519835,-0.19854058264625093,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21058655092702164,,,,,,,
2014,-0.17190881056228086,,,-0.06203056136377934,,,,,,,,,,,,,,,0.3131620497252978,,,,,,,,0.0030695622635658953,0.48203599851091183,-0.05283822028646518,,,0.057647777056411165,-0.20145640340587984,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18137862079506467,,,,,,
2015,-0.16010663238823736,,,,,-0.07903596405017793,,,,,,,,,,,,,0.2808259461848305,,,,,,,,,0.4977053516920073,,,,,-0.16259811711238725,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06857008245873603,,,0.07725687190936238,,,
2016,-0.15843856988018296,,,,,-0.10076097162037836,,,,,,,,,,,,,0.19921898650038522,,,,,,0.07815777589495831,,,0.5446380257570181,,,,,-0.15575022917692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12775317893470398,,,0.0
2017,-0.15826030807217856,,,,,-0.11098542514894108,,,,,,,,,,,,,0.22084318969298908,,,,,,0.06885150187814765,,,0.44439636795838605,,,,,-0.16690366464662618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2394366718793214,,,
2018,-0.17312672916059726,,,-0.0887163141181298,,,-0.020947160619128193,,,,,,,,,,,0.02836649403661234,0.22360027156170298,0.00078952062041549,-0.0010883577608066677,0.00078952062041549,-0.0010883577608066677,,,,,0.10060828001419807,-0.029166945701856538,,,,-0.16511804930034252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5654280321610418
2019,-0.14109201990468334,,,-0.08696004069066897,,,,,,,,,,,,,,,0.19812256476553486,,-0.0,,-0.0,,0.0,,,0.1437478528476288,-0.01676245539476178,,,,-0.14678761526728223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5334114031865812
