isocode,country_x,ln_maddison_pcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,LN_GDPPC$_2021
DZA,Algeria,7.9345136,3.2573552,9.961392,0,0,1,0,0,0,0,0,36,2.63691,0,66,0,-0.70158607,0,99,1,0,1,0,0,0,0,-13.815511,0.9135318,-6.9077554,-0.404099,6.5592318,14.91231,0.9850905,3.6541648,0.3394,0.99,2.38,3700.314697
AGO,Angola,6.6707664,7.9674935,14.39925,0,0,0,1,0,0,0,0,8,17.54142,0,78,14,0.24686006,0,0,1,0,0,0,0,0,1,-6.6143346,0.64312595,-1.7013959,-0.024916954,5.66876,6.980571,4.9258924,3.8723536,0.7867,0.635,1.25,1927.474078
BEN,Benin,7.1876574,8.304137,13.30897,0,0,1,0,0,0,0,0,6,2.34264,13,78,18,0.06840275,0,13,1,0,0,0,1,0,0,-13.815511,-3.5315552,-6.9077554,1.2141958,5.1206517,9.233961,2.8347852,3.9017363,0.7872,0.695,0.113,1360.911474
BWA,Botswana,8.377471,-2.3025851,3.912023,0,1,0,0,0,0,0,0,24,23.82042,0,74,-4,-4.6051702,0,0,0,1,0,1,0,0,0,-3.7050896,-9.2103405,2.1868494,-2.0750294,5.686335,5.7645755,5.856533,4.2996,0.4102,0.893,0.6,7238.796098
BFA,Burkina Faso,6.7487597,6.413822,11.724286,0,0,1,0,0,0,0,0,12,-1.74292,0,67,9,-4.6051702,0,42,1,0,0,0,1,0,0,-2.164328,-9.2103405,-6.9077554,0.9085654,4.774938,9.299419,2.7635193,4.239375,0.7377,0.338,0.274,888.7810788
BDI,Burundi,6.35437,1.1408427,4.451658,0,0,0,0,1,0,0,0,16,29.88722,5,82,17,-4.6051702,0,1,1,0,0,0,0,1,0,-2.6339228,-9.2103405,-6.9077554,3.0368562,10.626214,2.5703754,3.7187417,2.2153237,0.2951,0.995,0.0278,221.1578034
CMR,Cameroon,7.0166097,4.9449277,10.331063,0,0,1,0,0,0,0,0,4,12.74132,23,75,14,-0.1668627,0,22,1,0,0,0,0,0,1,-4.296489,-0.8711616,-6.9077554,1.0207043,5.642056,8.772295,3.0025477,3.051031,0.8635,0.316,0.475,1654.257037
CPV,Cape Verde Islands,7.4826818,-2.3025851,3.912023,0,0,0,1,0,0,0,0,15,-24.04431,0,73,13,5.4783616,1,0,1,0,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,-2.3025851,3.6468422,11.599784,3.4816022,6.465437,0.4174,,0.00403,3398.165376
CAF,Central African Republic,6.4723463,1.1713142,8.052058,0,0,1,0,0,0,0,0,4,20.48058,5,72,14,-4.6051702,0,8,1,0,0,0,0,0,1,-3.3160462,-9.2103405,-1.8495765,-0.47390452,5.642056,8.772295,2.840084,2.2931674,0.8295,0.144,0.623,461.137511
TCD,Chad,6.0497336,6.023867,12.872622,0,0,1,0,0,0,0,0,12,18.66029,0,72,8,-4.6051702,0,43,1,0,0,0,0,0,1,-13.815511,-9.2103405,-6.9077554,-0.4927752,5.581032,8.875547,1.8793639,2.0264912,0.862,0.384,1.28,685.690315
COM,Comoros,6.364751,-2.3025851,3.912023,0,0,1,0,0,0,0,0,11,43.49777,69,78,19,5.0542183,1,99,1,0,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,-2.3025851,10.130652,1.7542294,4.8456926,2.6095064,0,1,0.00217,1577.470841
COG,Congo,7.702556,5.623267,12.3910675,0,0,1,0,0,0,0,0,4,15.2263,0,71,12,-0.70491207,0,1,1,0,0,0,0,0,1,-3.9675615,1.0008785,-6.9077554,-0.36096144,5.5272293,7.923528,3.6973631,3.227007,0.8747,0.536,0.342,2540.473212
ZAR,Democratic Republic of Congo,5.3844953,5.787438,11.768935,0,0,0,0,1,0,0,0,7,23.65134,3,73,14,-4.1512527,0,1,1,0,0,0,0,0,1,-2.2952423,-3.4415028,-0.68398005,0.4253423,5.7124968,7.643048,3.7477417,2.686999,0.8747,0.649,2.35,576.9747294
DJI,Djibouti,7.005789,-1.6617181,4.703024,0,0,1,0,0,0,0,0,11,42.57752,0,74,17,2.6583505,0,94,1,0,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,-0.1698741,14.407552,2.682206,2.350743,0.06438951,0.7962,0.133,0.022,3062.551482
EGY,Egypt,7.979339,0.39991686,5.477251,0,1,0,0,0,0,0,0,28,29.87953,0,41,1,0.89608806,0,88,1,0,1,0,0,0,0,-13.815511,-0.36104244,-6.9077554,1.430923,16.392658,4.6673117,0.4303847,1.1126584,0.1836,0.99,1,3886.722498
GNQ,Equatorial Guinea,8.981682,-0.9844123,4.5602183,0,0,0,0,0,1,0,0,3,10.34204,5,95,17,2.35459,0,0.5,1,0,0,0,0,0,1,-13.815511,0.36276618,-6.9077554,0.8622092,5.577306,8.556146,3.4622152,3.5150366,0.3467,0.211,0.0281,7406.084975
ETH,Ethiopia,6.4361506,7.078711,12.99278,1,0,0,0,0,0,0,0,12,39.61983,5,73,0,4.529333,0,32,1,0,0,0,0,1,0,-3.8059134,-9.2103405,-6.9077554,0.35566694,12.58899,2.7058837,2.5432477,0.5100758,0.7235,0.843,1.22,925.0006976
GAB,Gabon,8.265393,4.6273904,11.694956,0,0,1,0,0,0,0,0,0.2,11.79747,3,79,17,1.1946006,0,0.8,1,0,0,0,0,0,1,-1.654193,2.6501067,-2.165953,-0.6607257,5.5313993,8.366795,3.7028396,3.5288613,0.769,0.011,0.268,8635.797144
GMB,Gambia,6.7968235,7.5616875,12.204872,0,1,0,0,0,0,0,0,13,-15.38402,0,78,7,1.9572239,0,94,0,1,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,1.5758444,3.888797,10.79257,3.171976,5.637868,0.7864,0.426,0.0113,772.1514505
GHA,Ghana,7.1546154,8.8182535,13.698667,0,1,0,0,0,0,0,0,7,-1.20736,15,77,15,0.81325203,0,16,0,1,0,0,1,0,0,0.65325093,-5.899707,-2.2394688,1.3386153,4.772588,9.299526,3.174178,4.332308,0.6733,0.651,0.239,2422.085913
GIN,Guinea,6.349139,7.26078,12.823203,0,0,1,0,0,0,0,0,10,-10.93922,3,87,17,0.34110722,0,80,1,0,0,0,1,0,0,-0.89737684,-9.2103405,-3.6738544,0.6566054,3.7199848,10.269244,3.2454138,5.258811,0.7389,0.406,0.246,1189.175999
GNB,Guinea-Bissau,6.5235624,8.518584,13.781655,0,0,0,1,0,0,0,0,12,-14.96533,0,74,13,2.0268352,0,34,1,0,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,0.9559578,3.7956743,10.631108,3.2846174,5.633392,0.8082,0.214,0.0361,795.118605
