,isocode,country_x,ln_maddison_pcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,LN_GDPPC$_2021,Country Name,YR2000Level,YR2001Level,YR2002Level,YR2003Level,YR2004Level,YR2005Level,YR2006Level,YR2007Level,YR2008Level,YR2009Level,YR2010Level,YR2011Level,YR2012Level,YR2013Level,YR2014Level,YR2015Level,YR2016Level,YR2017Level,YR2018Level,YR2019Level,YR2020Level,YR2021Level,YR2022Level,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
0,AGO,Angola,6.6707664,7.9674935,14.39925,0,0,0,1,0,0,0,0,8,17.54142,0,78,14,0.24686006,0,0,1,0,0,0,0,0,1,-6.6143346,0.64312595,-1.7013959,-0.024916954,5.66876,6.980571,4.9258924,3.8723536,0.7867,0.635,1.25,1927.474078,Angola,556.8842435,527.4641184,872.657638,982.8055897,1254.696126,1900.723816,2597.963585,3121.348735,4081.717497,3123.698898,3586.66368,4608.155166,5083.826851,5061.34924,5011.984412,3217.339244,1809.709377,2439.374441,2540.508878,2191.347764,1450.905112,1927.474078,3000.444231,6.322357397,6.268080841,6.771543312,6.890411328,7.134648692,7.549990048,7.862483181,8.046020474,8.314273134,8.046773123,8.184977712,8.435582875,8.533819574,8.529388375,8.519587206,8.076309975,7.500921546,7.799496909,7.840119686,7.692272051,7.279942856,7.563965657,8.006515634
1,BDI,Burundi,6.35437,1.1408427,4.451658,0,0,0,0,1,0,0,0,16,29.88722,5,82,17,-4.6051702,0,1,1,0,0,0,0,1,0,-2.6339228,-9.2103405,-6.9077554,3.0368562,10.626214,2.5703754,3.7187417,2.2153237,0.2951,0.995,0.0278,221.1578034,Burundi,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.188541,166.2762452,170.7068765,194.7106346,204.5447556,222.6605832,236.4513475,238.2059453,241.5476657,257.8185574,289.3596272,242.5395273,244.1454222,232.0606166,216.9729709,216.8274175,221.1578034,259.0250314,4.927287143,4.909757131,4.821404335,4.739412639,4.856227867,5.018527674,5.113650533,5.139947913,5.271514531,5.320786805,5.405648564,5.465742468,5.473135616,5.487066827,5.552256072,5.667670299,5.491164696,5.49776404,5.446998616,5.379772788,5.379101726,5.398876489,5.556924703
2,BEN,Benin,7.1876574,8.304137,13.30897,0,0,1,0,0,0,0,0,6,2.34264,13,78,18,0.06840275,0,13,1,0,0,0,1,0,0,-13.815511,-3.5315552,-6.9077554,1.2141958,5.1206517,9.233961,2.8347852,3.9017363,0.7872,0.695,0.113,1360.911474,Benin,502.9979811,508.3474477,564.3790577,698.4087773,784.1190751,805.9046853,837.1320025,944.6431721,1098.946679,1061.71836,1009.489495,1099.414311,1112.569536,1214.295565,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.885995,1240.733155,1360.911474,1302.851036,6.220586156,6.231165166,6.335726114,6.548804572,6.66456089,6.691965479,6.729981767,6.850807261,7.002107435,6.967643969,6.917200032,7.002532872,7.014427516,7.101919406,7.132101918,6.948563695,6.956374289,6.998760258,7.08543124,7.065516002,7.123457738,7.215909956,7.172310247
3,BFA,Burkina Faso,6.7487597,6.413822,11.724286,0,0,1,0,0,0,0,0,12,-1.74292,0,67,9,-4.6051702,0,42,1,0,0,0,1,0,0,-2.164328,-9.2103405,-6.9077554,0.9085654,4.774938,9.299419,2.7635193,4.239375,0.7377,0.338,0.274,888.7810788,Burkina Faso,249.8020757,260.4434731,286.7537149,363.818352,405.4512764,442.9444306,457.3420749,516.7503285,621.8902718,603.8775456,627.2703957,727.6124745,733.9728796,762.3037801,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604,823.5524109,888.7810788,830.0371503,5.520668907,5.562385844,5.658623711,5.89665471,6.005000709,6.093444323,6.125431634,6.247559834,6.432763665,6.403371438,6.441377701,6.589768591,6.598472079,6.636345138,6.642970836,6.449089826,6.500968791,6.566931951,6.658271305,6.640175868,6.713627192,6.78985095,6.721470459
4,BWA,Botswana,8.377471,-2.3025851,3.912023,0,1,0,0,0,0,0,0,24,23.82042,0,74,-4,-4.6051702,0,0,0,1,0,1,0,0,0,-3.7050896,-9.2103405,2.1868494,-2.0750294,5.686335,5.7645755,5.856533,4.2996,0.4102,0.893,0.6,7238.796098,Botswana,3351.696517,3115.679,3029.788362,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848752,4938.249906,6041.732051,7080.778643,6392.987347,6436.603319,6844.03325,5869.737579,6411.551666,6705.341062,6947.817841,6691.161053,5875.070606,7238.796098,7738.878804,8.11722192,8.044202385,8.016248049,8.32160111,8.480158413,8.564137111,8.545375092,8.589018983,8.584075604,8.504766277,8.706446013,8.865139158,8.762956942,8.769756245,8.831132493,8.677565206,8.76585659,8.810659661,8.84618291,8.808542689,8.678473357,8.887210187,8.954012099
5,CAF,Central African Republic,6.4723463,1.1713142,8.052058,0,0,1,0,0,0,0,0,4,20.48058,5,72,14,-4.6051702,0,8,1,0,0,0,0,0,1,-3.3160462,-9.2103405,-1.8495765,-0.47390452,5.642056,8.772295,2.840084,2.2931674,0.8295,0.144,0.623,461.137511,Central African Republic,243.8775801,242.5757268,253.4106704,283.6753481,309.1902428,317.8776779,340.4145171,388.4777717,446.2287704,452.9222365,459.7769818,515.2095035,525.867504,352.2268549,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531,435.4692478,461.137511,427.0580962,5.496666378,5.491313937,5.535011376,5.647830444,5.73395676,5.761666648,5.830164043,5.962235952,6.100831759,6.115720447,6.13074155,6.244573621,6.265049287,5.864275442,5.978523504,5.863289512,5.919257917,6.027652595,6.077486948,6.055398401,6.07642418,6.133696287,6.056920061
6,CIV,Ivory Coast,7.1899223,5.096793,10.8436985,0,0,1,0,0,0,0,0,6,-5.55555,41,82,15,0.4696153,0,20,1,0,0,0,1,0,0,-2.9727106,-3.2708921,-4.228216,0.47212294,4.1856956,9.457085,3.3530736,4.7939663,0.8204,0.082,0.322,2613.378893,Ivory Coast,986.7773528,974.779985,1020.950492,1173.063882,1267.764823,1267.087311,1303.564967,1451.232531,1683.337505,1638.804684,1654.177959,1701.704641,1649.301615,1903.054229,2124.01943,1941.581898,1999.195372,2113.341525,2295.540335,2290.787379,2349.069882,2613.378893,2486.412194,6.894444434,6.882211789,6.928489327,7.067374308,7.145010647,7.14447609,7.172858073,7.280168496,7.428533712,7.401722404,7.411059463,7.439385758,7.408107214,7.551215363,7.66106553,7.571258331,7.600500065,7.656025635,7.738723535,7.736650871,7.761774734,7.868399258,7.818596064
7,CMR,Cameroon,7.0166097,4.9449277,10.331063,0,0,1,0,0,0,0,0,4,12.74132,23,75,14,-0.1668627,0,22,1,0,0,0,0,0,1,-4.296489,-0.8711616,-6.9077554,1.0207043,5.642056,8.772295,3.0025477,3.051031,0.8635,0.316,0.475,1654.257037,Cameroon,700.1632362,706.9842175,780.2705532,976.5193035,1119.980862,1129.357979,1177.968605,1311.002964,1476.009079,1445.860249,1383.813865,1497.926585,1433.723928,1559.139049,1631.713985,1399.675336,1426.065481,1479.862222,1594.06011,1538.687912,1539.130545,1654.257037,1563.48894,6.551313502,6.561008342,6.659640723,6.883994518,7.021066877,7.02940459,7.071546713,7.178547745,7.297097156,7.276459751,7.232598637,7.311837154,7.268030484,7.351889056,7.397386266,7.243995586,7.262674519,7.299704269,7.374039569,7.338685327,7.338972955,7.411107267,7.354675103
8,COG,Congo,7.702556,5.623267,12.3910675,0,0,1,0,0,0,0,0,4,15.2263,0,71,12,-0.70491207,0,1,1,0,0,0,0,0,1,-3.9675615,1.0008785,-6.9077554,-0.36096144,5.5272293,7.923528,3.6973631,3.227007,0.8747,0.536,0.342,2540.473212,Congo,1029.960689,859.4400125,910.8697108,1023.088496,1314.411281,1810.588942,2116.868943,2219.912307,2848.653163,2283.949872,2962.762481,3415.062374,3753.860928,3719.651036,3623.80746,2455.34791,2107.503024,2227.720139,2715.243105,2508.944783,2011.269479,2540.473212,2649.225022,6.937275914,6.756281029,6.814399869,6.930581269,7.181144149,7.501407454,7.657693362,7.705222973,7.954601587,7.733661623,7.993877383,8.135951037,8.23054017,8.221385135,8.195280537,7.806023745,7.653259125,7.708733982,7.90663677,7.827617539,7.606521383,7.840105647,7.882022432
9,COM,Comoros,6.364751,-2.3025851,3.912023,0,0,1,0,0,0,0,0,11,43.49777,69,78,19,5.0542183,1,99,1,0,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,-2.3025851,10.130652,1.7542294,4.8456926,2.6095064,0,1,0.00217,1577.470841,Comoros,654.1804308,691.041978,761.9478882,959.2289876,1090.427169,1103.195417,1155.085675,1289.79485,1454.650909,1409.106673,1384.063284,1526.832638,1483.951559,1595.989819,1608.687875,1322.936775,1357.266229,1414.586689,1531.337811,1510.797323,1519.58678,1577.470841,1484.892465,6.483383201,6.538200572,6.635878165,6.866129824,6.994324797,7.005966172,7.051929798,7.162238454,7.282521226,7.250711217,7.232778861,7.330950697,7.302463781,7.375249399,7.383174141,7.187609374,7.21322783,7.254592675,7.333897019,7.320392819,7.326193722,7.36357811,7.303097634
