,isocode,country_x,ln_maddison_pcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,LN_GDPPC$_2021,Country Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,LNYR1960,LNYR1961,LNYR1962,LNYR1963,LNYR1964,LNYR1965,LNYR1966,LNYR1967,LNYR1968,LNYR1969,LNYR1970,LNYR1971,LNYR1972,LNYR1973,LNYR1974,LNYR1975,LNYR1976,LNYR1977,LNYR1978,LNYR1979,LNYR1980,LNYR1981,LNYR1982,LNYR1983,LNYR1984,LNYR1985,LNYR1986,LNYR1987,LNYR1988,LNYR1989,LNYR1990,LNYR1991,LNYR1992,LNYR1993,LNYR1994,LNYR1995,LNYR1996,LNYR1997,LNYR1998,LNYR1999,LNYR2000,LNYR2001,LNYR2002,LNYR2003,LNYR2004,LNYR2005,LNYR2006,LNYR2007,LNYR2008,LNYR2009,LNYR2010,LNYR2011,LNYR2012,LNYR2013,LNYR2014,LNYR2015,LNYR2016,LNYR2017,LNYR2018,LNYR2019,LNYR2020,LNYR2021,LNYR2022
0,AGO,Angola,6.6707664,7.9674935,14.39925,0,0,0,1,0,0,0,0,8,17.54142,0,78,14,0.24686006,0,0,1,0,0,0,0,0,1,-6.6143346,0.64312595,-1.7013959,-0.024916954,5.66876,6.980571,4.9258924,3.8723536,0.7867,0.635,1.25,1927.474078,Angola,149.4249253,153.9388103,153.9151869,160.1874725,174.3159643,187.4318889,190.69577,190.1953073,197.4058505,208.8635659,216.6134762,229.8865775,257.3574961,326.0924784,409.2852332,482.6734924,530.1341927,558.5904049,612.1367521,736.4999745,712.3697626,643.4399736,620.7365722,623.9093041,637.9035506,758.088489,684.9013443,756.4275452,793.391428,892.3400762,949.9213555,850.5561803,657.6546403,466.6791634,329.6917841,398.1202225,454.3750042,516.1278492,423.4033318,387.6894148,556.8842435,527.4641184,872.657638,982.8055897,1254.696126,1900.723816,2597.963585,3121.348735,4081.717497,3123.698898,3586.66368,4608.155166,5083.826851,5061.34924,5011.984412,3217.339244,1809.709377,2439.374441,2540.508878,2191.347764,1450.905112,1927.474078,3000.444231,5.006794095,5.036555188,5.036401716,5.076344832,5.160869539,5.23341552,5.250679331,5.248051477,5.285261764,5.341681244,5.37811455,5.437586046,5.550466154,5.787181017,6.014412305,6.179340426,6.273130168,6.325416476,6.416955709,6.601909201,6.568597106,6.466828742,6.430906793,6.436005012,6.458187097,6.630800119,6.529274805,6.628606752,6.676316704,6.793847311,6.856379197,6.745890465,6.488679931,6.145642005,5.79815823,5.986754026,6.118922858,6.246354505,6.048325228,5.960204542,6.322357397,6.268080841,6.771543312,6.890411328,7.134648692,7.549990048,7.862483181,8.046020474,8.314273134,8.046773123,8.184977712,8.435582875,8.533819574,8.529388375,8.519587206,8.076309975,7.500921546,7.799496909,7.840119686,7.692272051,7.279942856,7.563965657,8.006515634
1,BDI,Burundi,6.35437,1.1408427,4.451658,0,0,0,0,1,0,0,0,16,29.88722,5,82,17,-4.6051702,0,1,1,0,0,0,0,1,0,-2.6339228,-9.2103405,-6.9077554,3.0368562,10.626214,2.5703754,3.7187417,2.2153237,0.2951,0.995,0.0278,221.1578034,Burundi,71.36022425,72.08878213,73.94200799,78.94826929,85.96472463,50.99042022,51.80864008,54.45030509,54.64746568,55.54377512,69.39510892,70.58552337,68.95532974,85.21464379,94.33346268,112.2861073,117.0518785,139.4132637,151.0679915,189.1259412,213.2534354,215.7876028,220.1570099,229.1177255,203.85983,232.4118246,238.3569167,219.3713007,205.3179193,207.2919501,206.4449283,208.6567234,188.5811668,168.9640756,165.5859347,168.6271677,146.5361825,164.2334457,148.0895426,130.7530239,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.188541,166.2762452,170.7068765,194.7106346,204.5447556,222.6605832,236.4513475,238.2059453,241.5476657,257.8185574,289.3596272,242.5395273,244.1454222,232.0606166,216.9729709,216.8274175,221.1578034,259.0250314,4.267740631,4.277898445,4.30328111,4.368792819,4.453937033,3.931637776,3.947556932,3.997288452,4.00090284,4.017171451,4.239816388,4.256825072,4.2334589,4.445173295,4.54683598,4.721050143,4.762617243,4.937442642,5.01773001,5.242413149,5.362481296,5.374294604,5.394340973,5.434235957,5.31743265,5.448510904,5.4737692,5.390765731,5.324559604,5.334128187,5.330033686,5.34069043,5.239528507,5.129686122,5.109490303,5.12769017,4.987272377,5.101288865,4.997817108,4.87331023,4.927287143,4.909757131,4.821404335,4.739412639,4.856227867,5.018527674,5.113650533,5.139947913,5.271514531,5.320786805,5.405648564,5.465742468,5.473135616,5.487066827,5.552256072,5.667670299,5.491164696,5.49776404,5.446998616,5.379772788,5.379101726,5.398876489,5.556924703
2,BEN,Benin,7.1876574,8.304137,13.30897,0,0,1,0,0,0,0,0,6,2.34264,13,78,18,0.06840275,0,13,1,0,0,0,1,0,0,-13.815511,-3.5315552,-6.9077554,1.2141958,5.1206517,9.233961,2.8347852,3.9017363,0.7872,0.695,0.113,1360.911474,Benin,90.03583131,92.37485987,91.17139232,96.25466428,100.4680879,105.9668557,108.6282266,107.6828616,112.477968,111.6952729,110.34695,108.4947186,129.9996252,156.2803494,168.0122658,200.3343118,201.8329072,211.4928824,255.3923874,317.8204176,366.5295266,327.5650353,312.6932125,262.5773397,244.8443675,236.6105861,293.5596321,333.2231189,335.3419231,301.6849308,381.8050563,375.2919957,310.6237201,398.6130273,269.7905869,358.822987,380.5882869,355.1420718,372.8773466,541.7022593,502.9979811,508.3474477,564.3790577,698.4087773,784.1190751,805.9046853,837.1320025,944.6431721,1098.946679,1061.71836,1009.489495,1099.414311,1112.569536,1214.295565,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.885995,1240.733155,1360.911474,1302.851036,4.500207717,4.525854862,4.512741167,4.566997432,4.609840144,4.663126363,4.687931287,4.679190441,4.722757362,4.715774386,4.703629493,4.686701495,4.867531567,5.051651506,5.124036987,5.29998753,5.307440163,5.354191345,5.542801137,5.761486499,5.904079082,5.791686616,5.745222558,5.570545666,5.500622774,5.466415693,5.682080794,5.808812292,5.815150677,5.709383197,5.944910155,5.927704378,5.738582276,5.98799109,5.597646054,5.882829194,5.941718179,5.872517912,5.921249536,6.294716513,6.220586156,6.231165166,6.335726114,6.548804572,6.66456089,6.691965479,6.729981767,6.850807261,7.002107435,6.967643969,6.917200032,7.002532872,7.014427516,7.101919406,7.132101918,6.948563695,6.956374289,6.998760258,7.08543124,7.065516002,7.123457738,7.215909956,7.172310247
3,BFA,Burkina Faso,6.7487597,6.413822,11.724286,0,0,1,0,0,0,0,0,12,-1.74292,0,67,9,-4.6051702,0,42,1,0,0,0,1,0,0,-2.164328,-9.2103405,-6.9077554,0.9085654,4.774938,9.299419,2.7635193,4.239375,0.7377,0.338,0.274,888.7810788,Burkina Faso,69.08319533,72.17376618,77.07733384,78.82908619,80.83385981,81.99352681,82.7592154,84.55949129,84.91932571,86.71511681,81.68773209,84.5179878,99.66706567,114.2185237,124.8115374,153.1288228,155.7549905,176.2974696,224.328553,259.0365069,278.195452,249.2854633,239.6194956,212.4869881,188.3357611,194.5678909,248.0928701,280.9527058,301.9534887,294.0437243,339.6318225,334.759654,349.7081076,325.1536665,187.8151379,229.83266,243.5269235,224.6113439,250.4139444,293.8874446,249.8020757,260.4434731,286.7537149,363.818352,405.4512764,442.9444306,457.3420749,516.7503285,621.8902718,603.8775456,627.2703957,727.6124745,733.9728796,762.3037801,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604,823.5524109,888.7810788,830.0371503,4.235311508,4.279076631,4.344809253,4.367282043,4.392395935,4.406640303,4.415935372,4.437455326,4.441701697,4.462628226,4.402903833,4.436964385,4.601835288,4.738113488,4.826804899,5.031279546,5.048284199,5.172172736,5.413111732,5.556969005,5.628323931,5.518598679,5.47905223,5.358880754,5.238226333,5.270781156,5.513803152,5.638186348,5.710272995,5.683728478,5.827862156,5.813412824,5.857098828,5.784297891,5.23545817,5.437351479,5.495227505,5.414371548,5.523115326,5.683196853,5.520668907,5.562385844,5.658623711,5.89665471,6.005000709,6.093444323,6.125431634,6.247559834,6.432763665,6.403371438,6.441377701,6.589768591,6.598472079,6.636345138,6.642970836,6.449089826,6.500968791,6.566931951,6.658271305,6.640175868,6.713627192,6.78985095,6.721470459
4,BWA,Botswana,8.377471,-2.3025851,3.912023,0,1,0,0,0,0,0,0,24,23.82042,0,74,-4,-4.6051702,0,0,0,1,0,1,0,0,0,-3.7050896,-9.2103405,2.1868494,-2.0750294,5.686335,5.7645755,5.856533,4.2996,0.4102,0.893,0.6,7238.796098,Botswana,59.2971126,62.7429913,66.44872498,69.37886762,74.01435562,80.19387247,89.52806428,101.3306091,113.7009747,131.8504654,162.506051,210.9590897,262.4651333,371.434994,442.5360413,487.9158319,485.4037622,559.6563684,695.0924712,917.5940221,1130.315971,1092.664572,992.1180515,1105.130206,1128.871937,978.9930857,1180.908893,1610.365203,2096.735802,2369.125618,2825.724781,2855.948427,2918.617005,2844.99575,2832.813409,3064.585985,3063.994566,3100.165638,2893.328745,3242.137335,3351.696517,3115.679,3029.788362,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848752,4938.249906,6041.732051,7080.778643,6392.987347,6436.603319,6844.03325,5869.737579,6411.551666,6705.341062,6947.817841,6691.161053,5875.070606,7238.796098,7738.878804,4.082560613,4.139046879,4.196430597,4.23958232,4.304259069,4.384447109,4.494552144,4.618388528,4.733571973,4.881668443,5.090715238,5.351664227,5.570118248,5.917373866,6.09252191,6.190142915,6.184981044,6.327322968,6.544044889,6.821755051,7.030252493,6.996374554,6.899842104,7.00771844,7.028974127,6.88652458,7.074039669,7.384216266,7.648137034,7.770276229,7.94652017,7.957159266,7.978865155,7.953316853,7.949025634,8.027667761,8.027474757,8.039210821,7.970162933,8.083988063,8.11722192,8.044202385,8.016248049,8.32160111,8.480158413,8.564137111,8.545375092,8.589018983,8.584075604,8.504766277,8.706446013,8.865139158,8.762956942,8.769756245,8.831132493,8.677565206,8.76585659,8.810659661,8.84618291,8.808542689,8.678473357,8.887210187,8.954012099
5,CAF,Central African Republic,6.4723463,1.1713142,8.052058,0,0,1,0,0,0,0,0,4,20.48058,5,72,14,-4.6051702,0,8,1,0,0,0,0,0,1,-3.3160462,-9.2103405,-1.8495765,-0.47390452,5.642056,8.772295,2.840084,2.2931674,0.8295,0.144,0.623,461.137511,Central African Republic,66.77009521,71.99320347,71.43909954,72.83982885,78.39352492,81.42826997,83.6115982,84.84324535,97.08480547,93.01876961,91.47264874,95.41896067,106.9448798,123.4949062,125.6634114,165.7933972,194.6007531,216.6045049,258.0683554,293.166651,330.0029473,284.6377618,303.2508417,263.9894692,252.7485896,338.7483079,434.3751153,459.1660548,476.0208591,452.9665593,512.850879,475.2761464,471.9406393,413.9594767,267.0062766,340.39968,299.6194897,271.1433006,272.1015401,273.4279279,243.8775801,242.5757268,253.4106704,283.6753481,309.1902428,317.8776779,340.4145171,388.4777717,446.2287704,452.9222365,459.7769818,515.2095035,525.867504,352.2268549,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531,435.4692478,461.137511,427.0580962,4.201255304,4.276571718,4.268845332,4.288262905,4.361741334,4.39972251,4.426182245,4.440805382,4.57558488,4.532801297,4.516040007,4.558277308,4.67231356,4.81619991,4.833606994,5.110742418,5.27095004,5.378073133,5.553224493,5.680741222,5.799101586,5.651217361,5.714560323,5.575909213,5.532395278,5.825257377,6.073908482,6.12941192,6.165461675,6.115818302,6.239985119,6.163895996,6.156853213,6.025768087,5.587272166,5.830120457,5.702513302,5.602647466,5.606175306,5.611038069,5.496666378,5.491313937,5.535011376,5.647830444,5.73395676,5.761666648,5.830164043,5.962235952,6.100831759,6.115720447,6.13074155,6.244573621,6.265049287,5.864275442,5.978523504,5.863289512,5.919257917,6.027652595,6.077486948,6.055398401,6.07642418,6.133696287,6.056920061
6,CIV,Ivory Coast,7.1899223,5.096793,10.8436985,0,0,1,0,0,0,0,0,6,-5.55555,41,82,15,0.4696153,0,20,1,0,0,0,1,0,0,-2.9727106,-3.2708921,-4.228216,0.47212294,4.1856956,9.457085,3.3530736,4.7939663,0.8204,0.082,0.322,2613.378893,Ivory Coast,147.2778338,160.6527172,161.390234,183.1001575,213.1416085,204.7170592,219.2378316,222.9755139,253.7137395,259.0526532,265.7403582,277.0004113,309.2651081,400.8745244,468.8026281,568.1135072,652.702808,844.8156259,1025.933653,1143.385842,1225.415513,978.0747677,845.6649778,736.7106159,711.0852573,700.2808237,888.3413756,945.9986255,928.6417264,851.2133952,906.4115132,848.2820276,868.7255417,829.4824768,602.33197,769.2556836,1220.121444,1176.851967,1237.131417,1154.479067,986.7773528,974.779985,1020.950492,1173.063882,1267.764823,1267.087311,1303.564967,1451.232531,1683.337505,1638.804684,1654.177959,1701.704641,1649.301615,1903.054229,2124.01943,1941.581898,1999.195372,2113.341525,2295.540335,2290.787379,2349.069882,2613.378893,2486.412194,4.992320829,5.079244999,5.083825246,5.210033312,5.361956773,5.321628827,5.39015713,5.407061962,5.536206622,5.557031335,5.582519735,5.624018991,5.734198864,5.993648472,6.150181844,6.342321235,6.481121908,6.739118409,6.933358358,7.041749176,7.11103526,6.885586117,6.740123274,6.602195164,6.566792334,6.551481431,6.789356101,6.852241116,6.833723009,6.746662855,6.809493412,6.74321316,6.767027243,6.720801984,6.400808739,6.645423403,7.106705677,7.070598328,7.120550605,7.051404497,6.894444434,6.882211789,6.928489327,7.067374308,7.145010647,7.14447609,7.172858073,7.280168496,7.428533712,7.401722404,7.411059463,7.439385758,7.408107214,7.551215363,7.66106553,7.571258331,7.600500065,7.656025635,7.738723535,7.736650871,7.761774734,7.868399258,7.818596064
7,CMR,Cameroon,7.0166097,4.9449277,10.331063,0,0,1,0,0,0,0,0,4,12.74132,23,75,14,-0.1668627,0,22,1,0,0,0,0,0,1,-4.296489,-0.8711616,-6.9077554,1.0207043,5.642056,8.772295,3.0025477,3.051031,0.8635,0.316,0.475,1654.257037,Cameroon,120.0181938,125.5255859,130.895301,132.3481141,139.7805908,143.0704677,145.9989458,156.6797705,170.7455955,175.0733172,178.4061667,186.6419299,220.0248081,271.6785433,299.8619028,386.2209432,381.426602,435.3905627,581.8907071,718.0313338,783.4101454,748.7713983,730.7688952,743.4740688,768.9839825,871.5411186,1172.490248,1250.697604,1137.225182,993.0873595,1077.333545,1005.304363,995.3144925,1295.916464,692.8587335,822.3632126,817.1840942,773.9271467,789.274292,786.8458881,700.1632362,706.9842175,780.2705532,976.5193035,1119.980862,1129.357979,1177.968605,1311.002964,1476.009079,1445.860249,1383.813865,1497.926585,1433.723928,1559.139049,1631.713985,1399.675336,1426.065481,1479.862222,1594.06011,1538.687912,1539.130545,1654.257037,1563.48894,4.787643346,4.83250961,4.874397775,4.885435679,4.940073985,4.96333729,4.983599401,5.054204044,5.140174703,5.165204842,5.184062786,5.229191968,5.393740304,5.604619541,5.703322045,5.956409597,5.943918439,6.076243474,6.366282642,6.576513208,6.663656372,6.618433728,6.594097261,6.611333888,6.64507014,6.770263045,7.066885183,7.131456758,7.036346523,6.900818636,6.982244327,6.913045623,6.90305876,7.166973418,6.540826131,6.712182162,6.705864399,6.651477743,6.671113906,6.668032407,6.551313502,6.561008342,6.659640723,6.883994518,7.021066877,7.02940459,7.071546713,7.178547745,7.297097156,7.276459751,7.232598637,7.311837154,7.268030484,7.351889056,7.397386266,7.243995586,7.262674519,7.299704269,7.374039569,7.338685327,7.338972955,7.411107267,7.354675103
8,COG,Congo,7.702556,5.623267,12.3910675,0,0,1,0,0,0,0,0,4,15.2263,0,71,12,-0.70491207,0,1,1,0,0,0,0,0,1,-3.9675615,1.0008785,-6.9077554,-0.36096144,5.5272293,7.923528,3.6973631,3.227007,0.8747,0.536,0.342,2540.473212,Congo,124.7823589,139.9957532,149.7024669,150.7381679,158.1355932,164.2505326,177.6110943,185.711648,190.8986633,195.5006505,196.8238117,223.6753157,276.4939423,353.7525807,370.4183021,472.0820711,453.0692003,448.5010848,502.9580194,670.3599155,932.508546,1065.741616,1130.258493,1074.505323,1095.837852,1047.667839,870.2999734,1049.84783,981.893651,1030.362506,1173.264436,1110.972104,1163.534935,1034.753194,662.8773341,771.6139457,902.0457464,807.8918994,663.7287028,780.5897055,1029.960689,859.4400125,910.8697108,1023.088496,1314.411281,1810.588942,2116.868943,2219.912307,2848.653163,2283.949872,2962.762481,3415.062374,3753.860928,3719.651036,3623.80746,2455.34791,2107.503024,2227.720139,2715.243105,2508.944783,2011.269479,2540.473212,2649.225022,4.826571091,4.941612088,5.00864977,5.015544344,5.06345285,5.1013929,5.179596297,5.224195191,5.251742729,5.275563707,5.282308972,5.410195517,5.622188912,5.868597744,5.914632913,6.15715285,6.116044874,6.1059111,6.220506706,6.507814755,6.837878316,6.971426189,7.03020164,6.97961567,6.999274511,6.954321867,6.768837949,6.956400509,6.889483004,6.937665967,7.067545259,7.01299068,7.059218008,6.941918217,6.496589957,6.648484355,6.804665235,6.694428262,6.497873486,6.660049667,6.937275914,6.756281029,6.814399869,6.930581269,7.181144149,7.501407454,7.657693362,7.705222973,7.954601587,7.733661623,7.993877383,8.135951037,8.23054017,8.221385135,8.195280537,7.806023745,7.653259125,7.708733982,7.90663677,7.827617539,7.606521383,7.840105647,7.882022432
9,COM,Comoros,6.364751,-2.3025851,3.912023,0,0,1,0,0,0,0,0,11,43.49777,69,78,19,5.0542183,1,99,1,0,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,-2.3025851,10.130652,1.7542294,4.8456926,2.6095064,0,1,0.00217,1577.470841,Comoros,149.4249253,153.9388103,153.9151869,160.1874725,174.3159643,187.4318889,190.69577,190.1953073,197.4058505,208.8635659,216.6134762,229.8865775,257.3574961,326.0924784,409.2852332,482.6734924,530.1341927,558.5904049,612.1367521,736.4999745,646.3605345,580.9410199,530.2043595,538.0568569,505.1009277,523.6951852,723.1827601,850.4331274,873.6247033,813.8460197,996.5280531,958.9211501,1009.710262,977.4743806,674.1373079,823.6766103,801.26122,721.6273006,717.3181317,726.4888885,654.1804308,691.041978,761.9478882,959.2289876,1090.427169,1103.195417,1155.085675,1289.79485,1454.650909,1409.106673,1384.063284,1526.832638,1483.951559,1595.989819,1608.687875,1322.936775,1357.266229,1414.586689,1531.337811,1510.797323,1519.58678,1577.470841,1484.892465,5.006794095,5.036555188,5.036401716,5.076344832,5.160869539,5.23341552,5.250679331,5.248051477,5.285261764,5.341681244,5.37811455,5.437586046,5.550466154,5.787181017,6.014412305,6.179340426,6.273130168,6.325416476,6.416955709,6.601909201,6.471357451,6.364649237,6.273262516,6.287964237,6.224758266,6.260909807,6.58366197,6.745745781,6.772650882,6.701771183,6.904277291,6.865808851,6.917418699,6.884972082,6.513433811,6.71377799,6.686187011,6.581508801,6.575519441,6.588223188,6.483383201,6.538200572,6.635878165,6.866129824,6.994324797,7.005966172,7.051929798,7.162238454,7.282521226,7.250711217,7.232778861,7.330950697,7.302463781,7.375249399,7.383174141,7.187609374,7.21322783,7.254592675,7.333897019,7.320392819,7.326193722,7.36357811,7.303097634
